Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,151015,-,-,-,38.57,-121.5,-8,10,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI
2012,1,1,0,30,0
2012,1,1,1,30,0
2012,1,1,2,30,0
2012,1,1,3,30,0
2012,1,1,4,30,0
2012,1,1,5,30,0
2012,1,1,6,30,0
2012,1,1,7,30,0
2012,1,1,8,30,64
2012,1,1,9,30,296
2012,1,1,10,30,415
2012,1,1,11,30,483
2012,1,1,12,30,495
2012,1,1,13,30,443
2012,1,1,14,30,338
2012,1,1,15,30,193
2012,1,1,16,30,41
2012,1,1,17,30,0
2012,1,1,18,30,0
2012,1,1,19,30,0
2012,1,1,20,30,0
2012,1,1,21,30,0
2012,1,1,22,30,0
2012,1,1,23,30,0
2012,1,2,0,30,0
2012,1,2,1,30,0
2012,1,2,2,30,0
2012,1,2,3,30,0
2012,1,2,4,30,0
2012,1,2,5,30,0
2012,1,2,6,30,0
2012,1,2,7,30,0
2012,1,2,8,30,25
2012,1,2,9,30,64
2012,1,2,10,30,62
2012,1,2,11,30,303
2012,1,2,12,30,314
2012,1,2,13,30,299
2012,1,2,14,30,256
2012,1,2,15,30,189
2012,1,2,16,30,27
2012,1,2,17,30,0
2012,1,2,18,30,0
2012,1,2,19,30,0
2012,1,2,20,30,0
2012,1,2,21,30,0
2012,1,2,22,30,0
2012,1,2,23,30,0
2012,1,3,0,30,0
2012,1,3,1,30,0
2012,1,3,2,30,0
2012,1,3,3,30,0
2012,1,3,4,30,0
2012,1,3,5,30,0
2012,1,3,6,30,0
2012,1,3,7,30,0
2012,1,3,8,30,139
2012,1,3,9,30,252
2012,1,3,10,30,403
2012,1,3,11,30,469
2012,1,3,12,30,479
2012,1,3,13,30,429
2012,1,3,14,30,330
2012,1,3,15,30,190
2012,1,3,16,30,43
2012,1,3,17,30,0
2012,1,3,18,30,0
2012,1,3,19,30,0
2012,1,3,20,30,0
2012,1,3,21,30,0
2012,1,3,22,30,0
2012,1,3,23,30,0
2012,1,4,0,30,0
2012,1,4,1,30,0
2012,1,4,2,30,0
2012,1,4,3,30,0
2012,1,4,4,30,0
2012,1,4,5,30,0
2012,1,4,6,30,0
2012,1,4,7,30,0
2012,1,4,8,30,136
2012,1,4,9,30,285
2012,1,4,10,30,407
2012,1,4,11,30,477
2012,1,4,12,30,488
2012,1,4,13,30,440
2012,1,4,14,30,251
2012,1,4,15,30,162
2012,1,4,16,30,45
2012,1,4,17,30,0
2012,1,4,18,30,0
2012,1,4,19,30,0
2012,1,4,20,30,0
2012,1,4,21,30,0
2012,1,4,22,30,0
2012,1,4,23,30,0
2012,1,5,0,30,0
2012,1,5,1,30,0
2012,1,5,2,30,0
2012,1,5,3,30,0
2012,1,5,4,30,0
2012,1,5,5,30,0
2012,1,5,6,30,0
2012,1,5,7,30,0
2012,1,5,8,30,142
2012,1,5,9,30,291
2012,1,5,10,30,407
2012,1,5,11,30,472
2012,1,5,12,30,482
2012,1,5,13,30,438
2012,1,5,14,30,341
2012,1,5,15,30,202
2012,1,5,16,30,50
2012,1,5,17,30,0
2012,1,5,18,30,0
2012,1,5,19,30,0
2012,1,5,20,30,0
2012,1,5,21,30,0
2012,1,5,22,30,0
2012,1,5,23,30,0
2012,1,6,0,30,0
2012,1,6,1,30,0
2012,1,6,2,30,0
2012,1,6,3,30,0
2012,1,6,4,30,0
2012,1,6,5,30,0
2012,1,6,6,30,0
2012,1,6,7,30,0
2012,1,6,8,30,121
2012,1,6,9,30,286
2012,1,6,10,30,406
2012,1,6,11,30,322
2012,1,6,12,30,324
2012,1,6,13,30,429
2012,1,6,14,30,346
2012,1,6,15,30,205
2012,1,6,16,30,51
2012,1,6,17,30,0
2012,1,6,18,30,0
2012,1,6,19,30,0
2012,1,6,20,30,0
2012,1,6,21,30,0
2012,1,6,22,30,0
2012,1,6,23,30,0
2012,1,7,0,30,0
2012,1,7,1,30,0
2012,1,7,2,30,0
2012,1,7,3,30,0
2012,1,7,4,30,0
2012,1,7,5,30,0
2012,1,7,6,30,0
2012,1,7,7,30,0
2012,1,7,8,30,149
2012,1,7,9,30,306
2012,1,7,10,30,427
2012,1,7,11,30,500
2012,1,7,12,30,513
2012,1,7,13,30,463
2012,1,7,14,30,361
2012,1,7,15,30,216
2012,1,7,16,30,35
2012,1,7,17,30,0
2012,1,7,18,30,0
2012,1,7,19,30,0
2012,1,7,20,30,0
2012,1,7,21,30,0
2012,1,7,22,30,0
2012,1,7,23,30,0
2012,1,8,0,30,0
2012,1,8,1,30,0
2012,1,8,2,30,0
2012,1,8,3,30,0
2012,1,8,4,30,0
2012,1,8,5,30,0
2012,1,8,6,30,0
2012,1,8,7,30,0
2012,1,8,8,30,79
2012,1,8,9,30,207
2012,1,8,10,30,363
2012,1,8,11,30,376
2012,1,8,12,30,389
2012,1,8,13,30,463
2012,1,8,14,30,259
2012,1,8,15,30,160
2012,1,8,16,30,36
2012,1,8,17,30,0
2012,1,8,18,30,0
2012,1,8,19,30,0
2012,1,8,20,30,0
2012,1,8,21,30,0
2012,1,8,22,30,0
2012,1,8,23,30,0
2012,1,9,0,30,0
2012,1,9,1,30,0
2012,1,9,2,30,0
2012,1,9,3,30,0
2012,1,9,4,30,0
2012,1,9,5,30,0
2012,1,9,6,30,0
2012,1,9,7,30,0
2012,1,9,8,30,143
2012,1,9,9,30,300
2012,1,9,10,30,428
2012,1,9,11,30,501
2012,1,9,12,30,514
2012,1,9,13,30,459
2012,1,9,14,30,357
2012,1,9,15,30,212
2012,1,9,16,30,56
2012,1,9,17,30,0
2012,1,9,18,30,0
2012,1,9,19,30,0
2012,1,9,20,30,0
2012,1,9,21,30,0
2012,1,9,22,30,0
2012,1,9,23,30,0
2012,1,10,0,30,0
2012,1,10,1,30,0
2012,1,10,2,30,0
2012,1,10,3,30,0
2012,1,10,4,30,0
2012,1,10,5,30,0
2012,1,10,6,30,0
2012,1,10,7,30,0
2012,1,10,8,30,140
2012,1,10,9,30,295
2012,1,10,10,30,331
2012,1,10,11,30,413
2012,1,10,12,30,503
2012,1,10,13,30,464
2012,1,10,14,30,294
2012,1,10,15,30,217
2012,1,10,16,30,58
2012,1,10,17,30,0
2012,1,10,18,30,0
2012,1,10,19,30,0
2012,1,10,20,30,0
2012,1,10,21,30,0
2012,1,10,22,30,0
2012,1,10,23,30,0
2012,1,11,0,30,0
2012,1,11,1,30,0
2012,1,11,2,30,0
2012,1,11,3,30,0
2012,1,11,4,30,0
2012,1,11,5,30,0
2012,1,11,6,30,0
2012,1,11,7,30,0
2012,1,11,8,30,149
2012,1,11,9,30,308
2012,1,11,10,30,438
2012,1,11,11,30,513
2012,1,11,12,30,527
2012,1,11,13,30,481
2012,1,11,14,30,378
2012,1,11,15,30,229
2012,1,11,16,30,66
2012,1,11,17,30,0
2012,1,11,18,30,0
2012,1,11,19,30,0
2012,1,11,20,30,0
2012,1,11,21,30,0
2012,1,11,22,30,0
2012,1,11,23,30,0
2012,1,12,0,30,0
2012,1,12,1,30,0
2012,1,12,2,30,0
2012,1,12,3,30,0
2012,1,12,4,30,0
2012,1,12,5,30,0
2012,1,12,6,30,0
2012,1,12,7,30,0
2012,1,12,8,30,151
2012,1,12,9,30,310
2012,1,12,10,30,437
2012,1,12,11,30,510
2012,1,12,12,30,524
2012,1,12,13,30,478
2012,1,12,14,30,375
2012,1,12,15,30,228
2012,1,12,16,30,65
2012,1,12,17,30,0
2012,1,12,18,30,0
2012,1,12,19,30,0
2012,1,12,20,30,0
2012,1,12,21,30,0
2012,1,12,22,30,0
2012,1,12,23,30,0
2012,1,13,0,30,0
2012,1,13,1,30,0
2012,1,13,2,30,0
2012,1,13,3,30,0
2012,1,13,4,30,0
2012,1,13,5,30,0
2012,1,13,6,30,0
2012,1,13,7,30,0
2012,1,13,8,30,145
2012,1,13,9,30,303
2012,1,13,10,30,435
2012,1,13,11,30,510
2012,1,13,12,30,524
2012,1,13,13,30,481
2012,1,13,14,30,379
2012,1,13,15,30,232
2012,1,13,16,30,70
2012,1,13,17,30,0
2012,1,13,18,30,0
2012,1,13,19,30,0
2012,1,13,20,30,0
2012,1,13,21,30,0
2012,1,13,22,30,0
2012,1,13,23,30,0
2012,1,14,0,30,0
2012,1,14,1,30,0
2012,1,14,2,30,0
2012,1,14,3,30,0
2012,1,14,4,30,0
2012,1,14,5,30,0
2012,1,14,6,30,0
2012,1,14,7,30,0
2012,1,14,8,30,156
2012,1,14,9,30,319
2012,1,14,10,30,448
2012,1,14,11,30,523
2012,1,14,12,30,539
2012,1,14,13,30,494
2012,1,14,14,30,391
2012,1,14,15,30,242
2012,1,14,16,30,76
2012,1,14,17,30,0
2012,1,14,18,30,0
2012,1,14,19,30,0
2012,1,14,20,30,0
2012,1,14,21,30,0
2012,1,14,22,30,0
2012,1,14,23,30,0
2012,1,15,0,30,0
2012,1,15,1,30,0
2012,1,15,2,30,0
2012,1,15,3,30,0
2012,1,15,4,30,0
2012,1,15,5,30,0
2012,1,15,6,30,0
2012,1,15,7,30,0
2012,1,15,8,30,99
2012,1,15,9,30,101
2012,1,15,10,30,325
2012,1,15,11,30,507
2012,1,15,12,30,526
2012,1,15,13,30,480
2012,1,15,14,30,382
2012,1,15,15,30,238
2012,1,15,16,30,74
2012,1,15,17,30,0
2012,1,15,18,30,0
2012,1,15,19,30,0
2012,1,15,20,30,0
2012,1,15,21,30,0
2012,1,15,22,30,0
2012,1,15,23,30,0
2012,1,16,0,30,0
2012,1,16,1,30,0
2012,1,16,2,30,0
2012,1,16,3,30,0
2012,1,16,4,30,0
2012,1,16,5,30,0
2012,1,16,6,30,0
2012,1,16,7,30,0
