week,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0822,0.1767,0.2607,0.3085,0.3205,0.2929,0.2264,0.1347,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0852,0.1645,0.2512,0.3132,0.3277,0.3003,0.2352,0.1455,0.0430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0078,0.0945,0.1932,0.2882,0.3496,0.3619,0.3342,0.2630,0.1636,0.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0142,0.1106,0.2175,0.3198,0.3850,0.3894,0.3645,0.3026,0.1991,0.0763,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.1293,0.2562,0.3669,0.4355,0.4599,0.4283,0.3488,0.2304,0.0965,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0332,0.1493,0.2828,0.3876,0.4583,0.4668,0.4312,0.3625,0.2466,0.1112,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0481,0.1771,0.3072,0.4082,0.4721,0.4843,0.4569,0.3787,0.2610,0.1298,0.0155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0650,0.2027,0.3370,0.4428,0.5209,0.5326,0.4830,0.4098,0.2961,0.1511,0.0271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0840,0.2351,0.3704,0.4842,0.5463,0.5402,0.5111,0.4396,0.3168,0.1802,0.0406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.1116,0.2755,0.4172,0.5378,0.5954,0.5989,0.5495,0.4762,0.3505,0.2053,0.0554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0137,0.1391,0.3020,0.4558,0.5698,0.6483,0.6566,0.6126,0.5083,0.3835,0.2297,0.0703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0316,0.1680,0.3441,0.4969,0.6235,0.6779,0.6939,0.6339,0.5433,0.4140,0.2429,0.0851,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0537,0.2120,0.3923,0.5603,0.6739,0.7217,0.7299,0.6631,0.5747,0.4379,0.2710,0.1012,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0741,0.2365,0.4023,0.5462,0.6667,0.7277,0.7160,0.6779,0.5825,0.4478,0.2770,0.1210,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0998,0.2704,0.4445,0.5922,0.7078,0.7889,0.7900,0.7306,0.6385,0.4815,0.3049,0.1344,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0046,0.1316,0.3158,0.5004,0.6544,0.7697,0.8264,0.8346,0.7778,0.6592,0.5220,0.3498,0.1655,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0175,0.1544,0.3484,0.5316,0.6846,0.8065,0.8519,0.8676,0.8025,0.7019,0.5448,0.3696,0.1840,0.0318,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0299,0.1779,0.3609,0.5340,0.6851,0.8024,0.8483,0.8414,0.7824,0.6831,0.5426,0.3700,0.1909,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0445,0.2060,0.3984,0.5848,0.7368,0.8501,0.8886,0.9026,0.8442,0.7423,0.5978,0.4136,0.2238,0.0574,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0543,0.2086,0.3925,0.5677,0.7131,0.8130,0.8794,0.8771,0.8339,0.7245,0.5727,0.4050,0.2237,0.0658,0.0000,0.0000,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0644,0.2238,0.4097,0.5845,0.7389,0.8508,0.9151,0.9226,0.8737,0.7766,0.6296,0.4403,0.2555,0.0841,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0721,0.2372,0.4255,0.6079,0.7567,0.8634,0.9216,0.9204,0.8696,0.7582,0.6193,0.4448,0.2608,0.0929,0.0002,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0794,0.2456,0.4352,0.6197,0.7696,0.8839,0.9431,0.9480,0.9018,0.7883,0.6412,0.4647,0.2820,0.1063,0.0006,0.0000,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0836,0.2556,0.4482,0.6266,0.7838,0.8911,0.9526,0.9624,0.8953,0.8026,0.6582,0.4812,0.2908,0.1158,0.0011,0.0000,0.0000,0.0000,0.0000
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0848,0.2612,0.4596,0.6419,0.8074,0.9206,0.9833,0.9951,0.9455,0.8398,0.6938,0.5134,0.3142,0.1277,0.0015,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0769,0.2493,0.4395,0.6239,0.7875,0.9074,0.9672,0.9712,0.9222,0.8239,0.6785,0.5028,0.3102,0.1267,0.0016,0.0000,0.0000,0.0000,0.0000
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0717,0.2444,0.4417,0.6238,0.7866,0.9095,0.9852,0.9929,0.9400,0.8410,0.6889,0.5111,0.3140,0.1277,0.0014,0.0000,0.0000,0.0000,0.0000
28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0619,0.2317,0.4277,0.6149,0.7725,0.8974,0.9676,0.9826,0.9359,0.8346,0.6877,0.5071,0.3083,0.1232,0.0010,0.0000,0.0000,0.0000,0.0000
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0511,0.2157,0.4142,0.6023,0.7639,0.8840,0.9610,0.9756,0.9378,0.8339,0.6825,0.5002,0.3025,0.1152,0.0005,0.0000,0.0000,0.0000,0.0000
