week,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,,,,,,,,0.0000,0.3611,0.3986,0.4635,0.4774,0.4578,0.4708,0.4834,0.4895,0.5561,,,,,,,
2,,,,,,,,0.0000,0.3823,0.3591,0.4609,0.4878,0.4953,0.4807,0.4717,0.4795,0.5247,,,,,,,
3,,,,,,,,0.1758,0.3591,0.3799,0.4337,0.4728,0.4786,0.4870,0.4920,0.4690,0.5100,,,,,,,
4,,,,,,,,0.5107,0.4234,0.4648,0.5155,0.5552,0.5205,0.5202,0.5429,0.5291,0.5357,0.0000,,,,,,
5,,,,,,,,0.5179,0.4635,0.5292,0.5996,0.6051,0.6286,0.6209,0.6240,0.5942,0.5711,0.0000,,,,,,
6,,,,,,,,0.5250,0.4536,0.5165,0.5577,0.5760,0.5656,0.5551,0.5623,0.5476,0.4976,0.0000,,,,,,
7,,,,,,,,0.5581,0.5327,0.5551,0.5435,0.5724,0.5717,0.5983,0.5675,0.5309,0.5180,0.4653,,,,,,
8,,,,,,,,0.4780,0.4981,0.5317,0.5608,0.5993,0.6006,0.5601,0.5506,0.5556,0.5327,0.5361,,,,,,
9,,,,,,,0.0000,0.4981,0.5653,0.5842,0.5980,0.5949,0.5653,0.5538,0.5907,0.5552,0.5789,0.5557,,,,,,
10,,,,,,,0.0000,0.5403,0.6247,0.6300,0.6524,0.6488,0.6332,0.5829,0.6115,0.5768,0.6004,0.5713,,,,,,
11,,,,,,,0.3637,0.5558,0.6077,0.6414,0.6673,0.6757,0.6706,0.6624,0.6353,0.6339,0.6347,0.5915,,,,,,
12,,,,,,,0.5256,0.5492,0.6456,0.6738,0.7027,0.6786,0.6942,0.6627,0.6520,0.6468,0.6017,0.5892,0.0000,,,,,
13,,,,,,,0.5737,0.6392,0.7031,0.7272,0.7255,0.6926,0.6906,0.6638,0.6685,0.6536,0.6253,0.5700,0.0000,,,,,
14,,,,,,0.0000,0.5693,0.6142,0.6370,0.6458,0.6840,0.6866,0.6590,0.6657,0.6609,0.6324,0.5969,0.6222,0.0000,,,,,
15,,,,,,0.0000,0.5727,0.6372,0.6679,0.6772,0.6939,0.7405,0.7295,0.7095,0.7285,0.6884,0.6354,0.6032,0.3449,,,,,
16,,,,,,0.0000,0.6519,0.7129,0.7515,0.7530,0.7722,0.7687,0.7862,0.7627,0.7241,0.7329,0.7418,0.7077,0.6870,,,,,
17,,,,,,0.5313,0.6511,0.7456,0.7655,0.7838,0.7903,0.7658,0.7931,0.7672,0.7676,0.7628,0.7577,0.7282,0.7042,,,,,
18,,,,,,0.6534,0.6922,0.7193,0.7308,0.7453,0.7652,0.7482,0.7334,0.7213,0.7194,0.7071,0.6890,0.6818,0.6931,,,,,
19,,,,,,0.7143,0.7523,0.7954,0.8016,0.8030,0.8278,0.7840,0.8024,0.7892,0.8008,0.8003,0.7740,0.7645,0.7691,,,,,
20,,,,,,0.6993,0.6962,0.7318,0.7428,0.7551,0.7489,0.7665,0.7526,0.7735,0.7564,0.7052,0.7011,0.6757,0.6856,,,,,
21,,,,,,0.7227,0.7389,0.7745,0.7802,0.8025,0.8045,0.8026,0.8146,0.8174,0.8455,0.8422,0.8117,0.7997,0.8155,,,,,
22,,,,,,0.7280,0.7736,0.7917,0.8197,0.8145,0.8062,0.8140,0.7977,0.8116,0.7865,0.7962,0.7685,0.7562,0.7651,0.0000,,,,
23,,,,,,0.7633,0.7714,0.7924,0.8268,0.8222,0.8346,0.8301,0.8214,0.8552,0.8268,0.8103,0.7910,0.8068,0.7825,0.0000,,,,
24,,,,,,0.8257,0.8229,0.8407,0.8424,0.8499,0.8497,0.8586,0.8513,0.8071,0.8298,0.8405,0.8231,0.7979,0.7905,0.0000,,,,
25,,,,,,0.8800,0.8800,0.9092,0.8990,0.9257,0.9223,0.9246,0.9434,0.9454,0.9202,0.9268,0.9147,0.8775,0.8713,0.0000,,,,
26,,,,,,0.8047,0.8350,0.8531,0.8545,0.8807,0.8885,0.8725,0.8601,0.8603,0.8604,0.8584,0.8463,0.8473,0.8274,0.0000,,,,
27,,,,,,0.8671,0.8567,0.9043,0.8755,0.9048,0.9315,0.9591,0.9313,0.9098,0.9269,0.9010,0.9039,0.8778,0.8654,0.0000,,,,
28,,,,,,0.8219,0.8460,0.8860,0.8747,0.8769,0.8930,0.9029,0.9171,0.9330,0.9319,0.9214,0.9068,0.8731,0.8644,0.0000,,,,
29,,,,,,0.7847,0.8065,0.8718,0.8807,0.8785,0.8780,0.9129,0.9230,0.9540,0.9281,0.9084,0.9020,0.8889,0.8634,0.0000,,,,
30,,,,,,0.8070,0.8467,0.8882,0.8504,0.8879,0.8602,0.8815,0.8880,0.9137,0.9248,0.9052,0.9082,0.9003,0.8794,0.0000,,,,
31,,,,,,0.7300,0.8036,0.8540,0.8759,0.8941,0.9083,0.9140,0.8870,0.9134,0.9020,0.8895,0.8732,0.8391,0.7959,,,,,
32,,,,,,0.7150,0.8540,0.8503,0.8700,0.8739,0.8782,0.8859,0.8983,0.8987,0.8750,0.8920,0.8791,0.8312,0.7892,,,,,
33,,,,,,0.3095,0.8207,0.8557,0.8848,0.8982,0.9166,0.9320,0.9138,0.9167,0.8971,0.9072,0.8780,0.8585,0.7514,,,,,
34,,,,,,0.0000,0.8064,0.8414,0.8670,0.8889,0.9082,0.9070,0.9187,0.8943,0.8844,0.8978,0.8652,0.8326,0.6983,,,,,
35,,,,,,0.0000,0.8039,0.8459,0.8584,0.8592,0.8664,0.8509,0.8418,0.8769,0.8749,0.8744,0.8487,0.8287,0.2279,,,,,
36,,,,,,0.0000,0.7998,0.8521,0.8976,0.8641,0.9002,0.9326,0.9063,0.8722,0.8528,0.8739,0.8344,0.8205,0.0000,,,,,
37,,,,,,,0.7830,0.8018,0.8272,0.8454,0.8476,0.8745,0.8698,0.8741,0.8500,0.8235,0.8325,0.7677,0.0000,,,,,
38,,,,,,,0.7548,0.7499,0.7950,0.7900,0.8402,0.8101,0.8262,0.8355,0.8285,0.8343,0.8133,0.7441,,,,,,
39,,,,,,,0.7739,0.7698,0.8164,0.8304,0.8316,0.8359,0.8402,0.8299,0.8400,0.8594,0.7805,0.6640,,,,,,
40,,,,,,,0.7071,0.7398,0.7812,0.7988,0.8152,0.8431,0.8470,0.8515,0.8367,0.8137,0.7696,0.5356,,,,,,
