,Weekend/Holiday,,,,,,,,,,,,,,,,,,,,,,,,Workday,,,,,,,,,,,,,,,,,,,,,,,
Month->,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,
Hour-Beginning,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component,Delivery Component,Generation Component
0,$0.00078 ,$0.08815 ,$0.00072 ,$0.08011 ,$0.00053 ,$0.05588 ,$0.00065 ,$0.06710 ,$0.00065 ,$0.06877 ,$0.00068 ,$0.07223 ,$0.00068 ,$0.07126 ,$0.00081 ,$0.08269 ,$0.00075 ,$0.07920 ,$0.00075 ,$0.07753 ,$0.00074 ,$0.08139 ,$0.00074 ,$0.08086 ,$0.00082 ,$0.08908 ,$0.00076 ,$0.08477 ,$0.00066 ,$0.06850 ,$0.00072 ,$0.07424 ,$0.00070 ,$0.07412 ,$0.00075 ,$0.07852 ,$0.00071 ,$0.07473 ,$0.00082 ,$0.08564 ,$0.00086 ,$0.09107 ,$0.00084 ,$0.08791 ,$0.00079 ,$0.08608 ,$0.00080 ,$0.08772 
1,$0.00079 ,$0.08913 ,$0.00071 ,$0.07910 ,$0.00059 ,$0.05833 ,$0.00066 ,$0.06866 ,$0.00064 ,$0.06749 ,$0.00065 ,$0.06854 ,$0.00061 ,$0.06474 ,$0.00077 ,$0.07994 ,$0.00076 ,$0.08087 ,$0.00073 ,$0.07712 ,$0.00096 ,$0.07801 ,$0.00072 ,$0.07856 ,$0.00080 ,$0.08709 ,$0.00075 ,$0.08321 ,$0.00065 ,$0.06850 ,$0.00071 ,$0.07319 ,$0.00066 ,$0.07026 ,$0.00070 ,$0.07337 ,$0.00067 ,$0.07127 ,$0.00083 ,$0.08713 ,$0.00083 ,$0.08840 ,$0.00082 ,$0.08651 ,$0.00101 ,$0.08535 ,$0.00077 ,$0.08448 
2,$0.00076 ,$0.08544 ,$0.00071 ,$0.07874 ,$0.00059 ,$0.06159 ,$0.00071 ,$0.07326 ,$0.00068 ,$0.07169 ,$0.00064 ,$0.06839 ,$0.00060 ,$0.06399 ,$0.00073 ,$0.07676 ,$0.00075 ,$0.07984 ,$0.00071 ,$0.07500 ,$0.00071 ,$0.07767 ,$0.00070 ,$0.07695 ,$0.00076 ,$0.08505 ,$0.00075 ,$0.08348 ,$0.00064 ,$0.06737 ,$0.00072 ,$0.07431 ,$0.00067 ,$0.07072 ,$0.00069 ,$0.07268 ,$0.00063 ,$0.06752 ,$0.00080 ,$0.08418 ,$0.00080 ,$0.08509 ,$0.00079 ,$0.08370 ,$0.00077 ,$0.08297 ,$0.00074 ,$0.08152 
3,$0.00075 ,$0.08393 ,$0.00070 ,$0.07734 ,$0.00059 ,$0.06200 ,$0.00078 ,$0.08017 ,$0.00072 ,$0.07641 ,$0.00058 ,$0.06221 ,$0.00063 ,$0.06737 ,$0.00072 ,$0.07565 ,$0.00072 ,$0.07660 ,$0.00071 ,$0.07484 ,$0.00071 ,$0.07781 ,$0.00067 ,$0.07346 ,$0.00076 ,$0.08526 ,$0.00075 ,$0.08362 ,$0.00063 ,$0.06643 ,$0.00071 ,$0.07345 ,$0.00066 ,$0.06987 ,$0.00071 ,$0.07529 ,$0.00062 ,$0.06621 ,$0.00075 ,$0.07958 ,$0.00078 ,$0.08302 ,$0.00078 ,$0.08215 ,$0.00075 ,$0.08247 ,$0.00073 ,$0.08084 
4,$0.00076 ,$0.08506 ,$0.00069 ,$0.07695 ,$0.00066 ,$0.06437 ,$0.00081 ,$0.08355 ,$0.00070 ,$0.07396 ,$0.00065 ,$0.06862 ,$0.00059 ,$0.06312 ,$0.00071 ,$0.07487 ,$0.00074 ,$0.07832 ,$0.00070 ,$0.07403 ,$0.00072 ,$0.07863 ,$0.00067 ,$0.07304 ,$0.00077 ,$0.08623 ,$0.00076 ,$0.08419 ,$0.00064 ,$0.06733 ,$0.00068 ,$0.06996 ,$0.00067 ,$0.07127 ,$0.00070 ,$0.07383 ,$0.00061 ,$0.06540 ,$0.00075 ,$0.07898 ,$0.00077 ,$0.08220 ,$0.00076 ,$0.08042 ,$0.00078 ,$0.08525 ,$0.00076 ,$0.08383 
5,$0.00078 ,$0.08830 ,$0.00070 ,$0.07763 ,$0.00063 ,$0.06629 ,$0.00070 ,$0.07226 ,$0.00067 ,$0.07145 ,$0.00062 ,$0.06633 ,$0.00062 ,$0.06581 ,$0.00072 ,$0.07613 ,$0.00072 ,$0.07697 ,$0.00069 ,$0.07299 ,$0.00074 ,$0.08067 ,$0.00068 ,$0.07466 ,$0.00081 ,$0.09096 ,$0.00075 ,$0.08293 ,$0.00069 ,$0.07011 ,$0.00070 ,$0.07247 ,$0.00065 ,$0.06838 ,$0.00073 ,$0.07667 ,$0.00063 ,$0.06661 ,$0.00077 ,$0.08012 ,$0.00079 ,$0.08393 ,$0.00079 ,$0.08361 ,$0.00079 ,$0.08588 ,$0.00081 ,$0.08860 
6,$0.00081 ,$0.09162 ,$0.00067 ,$0.07460 ,$0.00065 ,$0.06264 ,$0.00069 ,$0.07573 ,$0.00060 ,$0.06395 ,$0.00066 ,$0.07045 ,$0.00057 ,$0.06068 ,$0.00079 ,$0.07250 ,$0.00072 ,$0.07691 ,$0.00068 ,$0.07146 ,$0.00074 ,$0.08089 ,$0.00072 ,$0.07825 ,$0.00081 ,$0.09084 ,$0.00072 ,$0.07931 ,$0.00070 ,$0.07118 ,$0.00067 ,$0.06938 ,$0.00061 ,$0.06464 ,$0.00071 ,$0.07504 ,$0.00067 ,$0.07040 ,$0.00074 ,$0.07759 ,$0.00078 ,$0.08320 ,$0.00078 ,$0.08271 ,$0.00076 ,$0.08241 ,$0.00082 ,$0.08966 
7,$0.00075 ,$0.08423 ,$0.00060 ,$0.06596 ,$0.00066 ,$0.06876 ,$0.00053 ,$0.05494 ,$0.00029 ,$0.03107 ,$0.00057 ,$0.06015 ,$0.00049 ,$0.05124 ,$0.00095 ,$0.06066 ,$0.00061 ,$0.06174 ,$0.00061 ,$0.06405 ,$0.00057 ,$0.06084 ,$0.00060 ,$0.06442 ,$0.00081 ,$0.08755 ,$0.00071 ,$0.07525 ,$0.00067 ,$0.06967 ,$0.00063 ,$0.06485 ,$0.00056 ,$0.05902 ,$0.00069 ,$0.07049 ,$0.00063 ,$0.06461 ,$0.00067 ,$0.06796 ,$0.00067 ,$0.07075 ,$0.00071 ,$0.07379 ,$0.00068 ,$0.07125 ,$0.00076 ,$0.08216 
8,$0.00060 ,$0.06586 ,$0.00037 ,$0.04008 ,$0.00015 ,$0.00994 ,$0.00005 ,$0.00468 ,$0.00006 ,$0.00597 ,$0.00023 ,$0.02141 ,$0.00036 ,$0.03392 ,$0.00075 ,$0.04838 ,$0.00038 ,$0.03532 ,$0.00048 ,$0.04676 ,$0.00044 ,$0.04596 ,$0.00038 ,$0.04094 ,$0.00067 ,$0.07243 ,$0.00053 ,$0.05492 ,$0.00048 ,$0.04803 ,$0.00018 ,$0.01752 ,$0.00029 ,$0.02855 ,$0.00058 ,$0.05487 ,$0.00063 ,$0.05969 ,$0.00068 ,$0.06344 ,$0.00066 ,$0.06237 ,$0.00065 ,$0.06372 ,$0.00061 ,$0.06369 ,$0.00069 ,$0.07360 
9,$0.00051 ,$0.05553 ,$0.00023 ,$0.02444 ,$0.00003 ,$0.00240 ,$0.00007 ,$0.00649 ,$0.00010 ,$0.01005 ,$0.00025 ,$0.02024 ,$0.00035 ,$0.02927 ,$0.00054 ,$0.04803 ,$0.00036 ,$0.03124 ,$0.00034 ,$0.02671 ,$0.00039 ,$0.04036 ,$0.00020 ,$0.02214 ,$0.00058 ,$0.06416 ,$0.00040 ,$0.04282 ,$0.00031 ,$0.02264 ,$0.00014 ,$0.01069 ,$0.00020 ,$0.01551 ,$0.00052 ,$0.04449 ,$0.00059 ,$0.05132 ,$0.00071 ,$0.06218 ,$0.00064 ,$0.06056 ,$0.00062 ,$0.05849 ,$0.00059 ,$0.06086 ,$0.00063 ,$0.06856 
10,$0.00051 ,$0.05530 ,$0.00021 ,$0.02374 ,$0.00013 ,$0.00891 ,$0.00014 ,$0.01431 ,$0.00010 ,$0.01009 ,$0.00026 ,$0.02207 ,$0.00036 ,$0.02980 ,$0.00065 ,$0.04571 ,$0.00040 ,$0.03122 ,$0.00039 ,$0.02568 ,$0.00029 ,$0.03027 ,$0.00019 ,$0.02063 ,$0.00056 ,$0.06144 ,$0.00035 ,$0.03812 ,$0.00017 ,$0.01627 ,$0.00012 ,$0.00939 ,$0.00016 ,$0.01232 ,$0.00052 ,$0.04135 ,$0.00063 ,$0.05400 ,$0.00072 ,$0.06226 ,$0.00066 ,$0.05959 ,$0.00064 ,$0.05804 ,$0.00059 ,$0.06035 ,$0.00063 ,$0.06798 
11,$0.00049 ,$0.05455 ,$0.00023 ,$0.02606 ,$0.00007 ,$0.00615 ,$0.00011 ,$0.01011 ,$0.00010 ,$0.00949 ,$0.00023 ,$0.01561 ,$0.00039 ,$0.03024 ,$0.00058 ,$0.04442 ,$0.00043 ,$0.03002 ,$0.00049 ,$0.02529 ,$0.00028 ,$0.02949 ,$0.00018 ,$0.01986 ,$0.00054 ,$0.06030 ,$0.00034 ,$0.03772 ,$0.00020 ,$0.01895 ,$0.00013 ,$0.01082 ,$0.00018 ,$0.01617 ,$0.00059 ,$0.04034 ,$0.00067 ,$0.05246 ,$0.00076 ,$0.06145 ,$0.00070 ,$0.05887 ,$0.00071 ,$0.05780 ,$0.00059 ,$0.05987 ,$0.00058 ,$0.06282 
12,$0.00050 ,$0.05432 ,$0.00021 ,$0.02330 ,$0.00013 ,$0.01040 ,$0.00005 ,$0.00324 ,$0.00008 ,$0.00744 ,$0.00029 ,$0.02050 ,$0.00041 ,$0.03102 ,$0.00057 ,$0.04047 ,$0.00047 ,$0.02913 ,$0.00060 ,$0.02002 ,$0.00025 ,$0.02607 ,$0.00017 ,$0.01876 ,$0.00054 ,$0.05906 ,$0.00030 ,$0.03376 ,$0.00016 ,$0.01485 ,$0.00015 ,$0.01190 ,$0.00015 ,$0.01262 ,$0.00065 ,$0.03882 ,$0.00069 ,$0.05193 ,$0.00080 ,$0.06059 ,$0.00077 ,$0.05840 ,$0.00078 ,$0.05706 ,$0.00060 ,$0.05943 ,$0.00058 ,$0.06244 
