week,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,,,,,,,,2.0000,1.6389,1.6014,1.5365,1.5226,1.5422,1.5292,1.5166,1.5105,1.4439,,,,,,,
2,,,,,,,,2.0000,1.6177,1.6409,1.5391,1.5122,1.5047,1.5193,1.5283,1.5205,1.4753,,,,,,,
3,,,,,,,,1.8242,1.6409,1.6201,1.5663,1.5272,1.5214,1.5130,1.5080,1.5310,1.4900,,,,,,,
4,,,,,,,,1.4893,1.5766,1.5352,1.4845,1.4448,1.4795,1.4798,1.4571,1.4709,1.4643,2.0000,,,,,,
5,,,,,,,,1.4821,1.5365,1.4708,1.4004,1.3949,1.3714,1.3791,1.3760,1.4058,1.4289,2.0000,,,,,,
6,,,,,,,,1.4750,1.5464,1.4835,1.4423,1.4240,1.4344,1.4449,1.4377,1.4524,1.5024,2.0000,,,,,,
7,,,,,,,,1.4419,1.4673,1.4449,1.4565,1.4276,1.4283,1.4017,1.4325,1.4691,1.4820,1.5347,,,,,,
8,,,,,,,,1.5220,1.5019,1.4683,1.4392,1.4007,1.3994,1.4399,1.4494,1.4444,1.4673,1.4639,,,,,,
9,,,,,,,2.0000,1.5019,1.4347,1.4158,1.4020,1.4051,1.4347,1.4462,1.4093,1.4448,1.4211,1.4443,,,,,,
10,,,,,,,2.0000,1.4597,1.3753,1.3700,1.3476,1.3512,1.3668,1.4171,1.3885,1.4232,1.3996,1.4287,,,,,,
11,,,,,,,1.6363,1.4442,1.3923,1.3586,1.3327,1.3243,1.3294,1.3376,1.3647,1.3661,1.3653,1.4085,,,,,,
12,,,,,,,1.4744,1.4508,1.3544,1.3262,1.2973,1.3214,1.3058,1.3373,1.3480,1.3532,1.3983,1.4108,2.0000,,,,,
13,,,,,,,1.4263,1.3608,1.2969,1.2728,1.2745,1.3074,1.3094,1.3362,1.3315,1.3464,1.3747,1.4300,2.0000,,,,,
14,,,,,,2.0000,1.4307,1.3858,1.3630,1.3542,1.3160,1.3134,1.3410,1.3343,1.3391,1.3676,1.4031,1.3778,2.0000,,,,,
15,,,,,,2.0000,1.4273,1.3628,1.3321,1.3228,1.3061,1.2595,1.2705,1.2905,1.2715,1.3116,1.3646,1.3968,1.6551,,,,,
16,,,,,,2.0000,1.3481,1.2871,1.2485,1.2470,1.2278,1.2313,1.2138,1.2373,1.2759,1.2671,1.2582,1.2923,1.3130,,,,,
17,,,,,,1.4687,1.3489,1.2544,1.2345,1.2162,1.2097,1.2342,1.2069,1.2328,1.2324,1.2372,1.2423,1.2718,1.2958,,,,,
18,,,,,,1.3466,1.3078,1.2807,1.2692,1.2547,1.2348,1.2518,1.2666,1.2787,1.2806,1.2929,1.3110,1.3182,1.3069,,,,,
19,,,,,,1.2857,1.2477,1.2046,1.1984,1.1970,1.1722,1.2160,1.1976,1.2108,1.1992,1.1997,1.2260,1.2355,1.2309,,,,,
20,,,,,,1.3007,1.3038,1.2682,1.2572,1.2449,1.2511,1.2335,1.2474,1.2265,1.2436,1.2948,1.2989,1.3243,1.3144,,,,,
21,,,,,,1.2773,1.2611,1.2255,1.2198,1.1975,1.1955,1.1974,1.1854,1.1826,1.1545,1.1578,1.1883,1.2003,1.1845,,,,,
22,,,,,,1.2720,1.2264,1.2083,1.1803,1.1855,1.1938,1.1860,1.2023,1.1884,1.2135,1.2038,1.2315,1.2438,1.2349,2.0000,,,,
23,,,,,,1.2367,1.2286,1.2076,1.1732,1.1778,1.1654,1.1699,1.1786,1.1448,1.1732,1.1897,1.2090,1.1932,1.2175,2.0000,,,,
24,,,,,,1.1743,1.1771,1.1593,1.1576,1.1501,1.1503,1.1414,1.1487,1.1929,1.1702,1.1595,1.1769,1.2021,1.2095,2.0000,,,,
25,,,,,,1.1200,1.1200,1.0908,1.1010,1.0743,1.0777,1.0754,1.0566,1.0546,1.0798,1.0732,1.0853,1.1225,1.1287,2.0000,,,,
26,,,,,,1.1953,1.1650,1.1469,1.1455,1.1193,1.1115,1.1275,1.1399,1.1397,1.1396,1.1416,1.1537,1.1527,1.1726,2.0000,,,,
27,,,,,,1.1329,1.1433,1.0957,1.1245,1.0952,1.0685,1.0409,1.0687,1.0902,1.0731,1.0990,1.0961,1.1222,1.1346,2.0000,,,,
28,,,,,,1.1781,1.1540,1.1140,1.1253,1.1231,1.1070,1.0971,1.0829,1.0670,1.0681,1.0786,1.0932,1.1269,1.1356,2.0000,,,,
29,,,,,,1.2153,1.1935,1.1282,1.1193,1.1215,1.1220,1.0871,1.0770,1.0460,1.0719,1.0916,1.0980,1.1111,1.1366,2.0000,,,,
30,,,,,,1.1930,1.1533,1.1118,1.1496,1.1121,1.1398,1.1185,1.1120,1.0863,1.0752,1.0948,1.0918,1.0997,1.1206,2.0000,,,,
31,,,,,,1.2700,1.1964,1.1460,1.1241,1.1059,1.0917,1.0860,1.1130,1.0866,1.0980,1.1105,1.1268,1.1609,1.2041,,,,,
