Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,151015,-,-,-,38.57,-121.5,-8,10,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,GHI
2002,1,1,0,30,0
2002,1,1,1,30,0
2002,1,1,2,30,0
2002,1,1,3,30,0
2002,1,1,4,30,0
2002,1,1,5,30,0
2002,1,1,6,30,0
2002,1,1,7,30,0
2002,1,1,8,30,15
2002,1,1,9,30,83
2002,1,1,10,30,70
2002,1,1,11,30,134
2002,1,1,12,30,54
2002,1,1,13,30,86
2002,1,1,14,30,220
2002,1,1,15,30,29
2002,1,1,16,30,28
2002,1,1,17,30,0
2002,1,1,18,30,0
2002,1,1,19,30,0
2002,1,1,20,30,0
2002,1,1,21,30,0
2002,1,1,22,30,0
2002,1,1,23,30,0
2002,1,2,0,30,0
2002,1,2,1,30,0
2002,1,2,2,30,0
2002,1,2,3,30,0
2002,1,2,4,30,0
2002,1,2,5,30,0
2002,1,2,6,30,0
2002,1,2,7,30,0
2002,1,2,8,30,72
2002,1,2,9,30,61
2002,1,2,10,30,142
2002,1,2,11,30,195
2002,1,2,12,30,108
2002,1,2,13,30,88
2002,1,2,14,30,48
2002,1,2,15,30,18
2002,1,2,16,30,22
2002,1,2,17,30,0
2002,1,2,18,30,0
2002,1,2,19,30,0
2002,1,2,20,30,0
2002,1,2,21,30,0
2002,1,2,22,30,0
2002,1,2,23,30,0
2002,1,3,0,30,0
2002,1,3,1,30,0
2002,1,3,2,30,0
2002,1,3,3,30,0
2002,1,3,4,30,0
2002,1,3,5,30,0
2002,1,3,6,30,0
2002,1,3,7,30,0
2002,1,3,8,30,139
2002,1,3,9,30,47
2002,1,3,10,30,113
2002,1,3,11,30,215
2002,1,3,12,30,294
2002,1,3,13,30,268
2002,1,3,14,30,27
2002,1,3,15,30,196
2002,1,3,16,30,46
2002,1,3,17,30,0
2002,1,3,18,30,0
2002,1,3,19,30,0
2002,1,3,20,30,0
2002,1,3,21,30,0
2002,1,3,22,30,0
2002,1,3,23,30,0
2002,1,4,0,30,0
2002,1,4,1,30,0
2002,1,4,2,30,0
2002,1,4,3,30,0
2002,1,4,4,30,0
2002,1,4,5,30,0
2002,1,4,6,30,0
2002,1,4,7,30,0
2002,1,4,8,30,118
2002,1,4,9,30,163
2002,1,4,10,30,229
2002,1,4,11,30,263
2002,1,4,12,30,173
2002,1,4,13,30,229
2002,1,4,14,30,157
2002,1,4,15,30,90
2002,1,4,16,30,24
2002,1,4,17,30,0
2002,1,4,18,30,0
2002,1,4,19,30,0
2002,1,4,20,30,0
2002,1,4,21,30,0
2002,1,4,22,30,0
2002,1,4,23,30,0
2002,1,5,0,30,0
2002,1,5,1,30,0
2002,1,5,2,30,0
2002,1,5,3,30,0
2002,1,5,4,30,0
2002,1,5,5,30,0
2002,1,5,6,30,0
2002,1,5,7,30,0
2002,1,5,8,30,50
2002,1,5,9,30,94
2002,1,5,10,30,46
2002,1,5,11,30,53
2002,1,5,12,30,109
2002,1,5,13,30,118
2002,1,5,14,30,59
2002,1,5,15,30,70
2002,1,5,16,30,47
2002,1,5,17,30,0
2002,1,5,18,30,0
2002,1,5,19,30,0
2002,1,5,20,30,0
2002,1,5,21,30,0
2002,1,5,22,30,0
2002,1,5,23,30,0
2002,1,6,0,30,0
2002,1,6,1,30,0
2002,1,6,2,30,0
2002,1,6,3,30,0
2002,1,6,4,30,0
2002,1,6,5,30,0
2002,1,6,6,30,0
2002,1,6,7,30,0
2002,1,6,8,30,10
2002,1,6,9,30,91
2002,1,6,10,30,211
2002,1,6,11,30,291
2002,1,6,12,30,231
2002,1,6,13,30,286
2002,1,6,14,30,286
2002,1,6,15,30,200
2002,1,6,16,30,27
2002,1,6,17,30,0
2002,1,6,18,30,0
2002,1,6,19,30,0
2002,1,6,20,30,0
2002,1,6,21,30,0
2002,1,6,22,30,0
2002,1,6,23,30,0
2002,1,7,0,30,0
2002,1,7,1,30,0
2002,1,7,2,30,0
2002,1,7,3,30,0
2002,1,7,4,30,0
2002,1,7,5,30,0
2002,1,7,6,30,0
2002,1,7,7,30,0
2002,1,7,8,30,14
2002,1,7,9,30,76
2002,1,7,10,30,149
2002,1,7,11,30,205
2002,1,7,12,30,277
2002,1,7,13,30,336
2002,1,7,14,30,188
2002,1,7,15,30,107
2002,1,7,16,30,15
2002,1,7,17,30,0
2002,1,7,18,30,0
2002,1,7,19,30,0
2002,1,7,20,30,0
2002,1,7,21,30,0
2002,1,7,22,30,0
2002,1,7,23,30,0
2002,1,8,0,30,0
2002,1,8,1,30,0
2002,1,8,2,30,0
2002,1,8,3,30,0
2002,1,8,4,30,0
2002,1,8,5,30,0
2002,1,8,6,30,0
2002,1,8,7,30,0
2002,1,8,8,30,89
2002,1,8,9,30,137
2002,1,8,10,30,217
2002,1,8,11,30,213
2002,1,8,12,30,221
2002,1,8,13,30,268
2002,1,8,14,30,203
2002,1,8,15,30,65
2002,1,8,16,30,52
2002,1,8,17,30,0
2002,1,8,18,30,0
2002,1,8,19,30,0
2002,1,8,20,30,0
2002,1,8,21,30,0
2002,1,8,22,30,0
2002,1,8,23,30,0
2002,1,9,0,30,0
2002,1,9,1,30,0
2002,1,9,2,30,0
2002,1,9,3,30,0
2002,1,9,4,30,0
2002,1,9,5,30,0
2002,1,9,6,30,0
2002,1,9,7,30,0
2002,1,9,8,30,142
2002,1,9,9,30,187
2002,1,9,10,30,273
2002,1,9,11,30,490
2002,1,9,12,30,504
2002,1,9,13,30,363
2002,1,9,14,30,230
2002,1,9,15,30,205
2002,1,9,16,30,60
2002,1,9,17,30,0
2002,1,9,18,30,0
2002,1,9,19,30,0
2002,1,9,20,30,0
2002,1,9,21,30,0
2002,1,9,22,30,0
2002,1,9,23,30,0
2002,1,10,0,30,0
2002,1,10,1,30,0
2002,1,10,2,30,0
2002,1,10,3,30,0
2002,1,10,4,30,0
2002,1,10,5,30,0
2002,1,10,6,30,0
2002,1,10,7,30,0
2002,1,10,8,30,153
2002,1,10,9,30,138
