,,Janurary,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December ,
,,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered,Produced,Delivered
12:00,AM,$0.08908 ,$0.00082 ,$0.08477 ,$0.00076 ,$0.06850 ,$0.00066 ,$0.07424 ,$0.00072 ,$0.07412 ,$0.00070 ,$0.07852 ,$0.00075 ,$0.07473 ,$0.00071 ,$0.08564 ,$0.00082 ,$0.09107 ,$0.00086 ,$0.08791 ,$0.00084 ,$0.08608 ,$0.00079 ,$0.08772 ,$0.00080 
1:00,AM,$0.08709 ,$0.00080 ,$0.08321 ,$0.00075 ,$0.06850 ,$0.00065 ,$0.07319 ,$0.00071 ,$0.07026 ,$0.00066 ,$0.07337 ,$0.00070 ,$0.07127 ,$0.00067 ,$0.08713 ,$0.00083 ,$0.08840 ,$0.00083 ,$0.08651 ,$0.00082 ,$0.08535 ,$0.00101 ,$0.08448 ,$0.00077 
2:00,AM,$0.08505 ,$0.00076 ,$0.08348 ,$0.00075 ,$0.06737 ,$0.00064 ,$0.07431 ,$0.00072 ,$0.07072 ,$0.00067 ,$0.07268 ,$0.00069 ,$0.06752 ,$0.00063 ,$0.08418 ,$0.00080 ,$0.08509 ,$0.00080 ,$0.08370 ,$0.00079 ,$0.08297 ,$0.00077 ,$0.08152 ,$0.00074 
3:00,AM,$0.08526 ,$0.00076 ,$0.08362 ,$0.00075 ,$0.06643 ,$0.00063 ,$0.07345 ,$0.00071 ,$0.06987 ,$0.00066 ,$0.07529 ,$0.00071 ,$0.06621 ,$0.00062 ,$0.07958 ,$0.00075 ,$0.08302 ,$0.00078 ,$0.08215 ,$0.00078 ,$0.08247 ,$0.00075 ,$0.08084 ,$0.00073 
4:00,AM,$0.08623 ,$0.00077 ,$0.08419 ,$0.00076 ,$0.06733 ,$0.00064 ,$0.06996 ,$0.00068 ,$0.07127 ,$0.00067 ,$0.07383 ,$0.00070 ,$0.06540 ,$0.00061 ,$0.07898 ,$0.00075 ,$0.08220 ,$0.00077 ,$0.08042 ,$0.00076 ,$0.08525 ,$0.00078 ,$0.08383 ,$0.00076 
5:00,AM,$0.09096 ,$0.00081 ,$0.08293 ,$0.00075 ,$0.07011 ,$0.00069 ,$0.07247 ,$0.00070 ,$0.06838 ,$0.00065 ,$0.07667 ,$0.00073 ,$0.06661 ,$0.00063 ,$0.08012 ,$0.00077 ,$0.08393 ,$0.00079 ,$0.08361 ,$0.00079 ,$0.08588 ,$0.00079 ,$0.08860 ,$0.00081 
6:00,AM,$0.09084 ,$0.00081 ,$0.07931 ,$0.00072 ,$0.07118 ,$0.00070 ,$0.06938 ,$0.00067 ,$0.06464 ,$0.00061 ,$0.07504 ,$0.00071 ,$0.07040 ,$0.00067 ,$0.07759 ,$0.00074 ,$0.08320 ,$0.00078 ,$0.08271 ,$0.00078 ,$0.08241 ,$0.00076 ,$0.08966 ,$0.00082 
7:00,AM,$0.08755 ,$0.00081 ,$0.07525 ,$0.00071 ,$0.06967 ,$0.00067 ,$0.06485 ,$0.00063 ,$0.05902 ,$0.00056 ,$0.07049 ,$0.00069 ,$0.06461 ,$0.00063 ,$0.06796 ,$0.00067 ,$0.07075 ,$0.00067 ,$0.07379 ,$0.00071 ,$0.07125 ,$0.00068 ,$0.08216 ,$0.00076 
8:00,AM,$0.07243 ,$0.00067 ,$0.05492 ,$0.00053 ,$0.04803 ,$0.00048 ,$0.01752 ,$0.00018 ,$0.02855 ,$0.00029 ,$0.05487 ,$0.00058 ,$0.05969 ,$0.00063 ,$0.06344 ,$0.00068 ,$0.06237 ,$0.00066 ,$0.06372 ,$0.00065 ,$0.06369 ,$0.00061 ,$0.07360 ,$0.00069 
9:00,AM,$0.06416 ,$0.00058 ,$0.04282 ,$0.00040 ,$0.02264 ,$0.00031 ,$0.01069 ,$0.00014 ,$0.01551 ,$0.00020 ,$0.04449 ,$0.00052 ,$0.05132 ,$0.00059 ,$0.06218 ,$0.00071 ,$0.06056 ,$0.00064 ,$0.05849 ,$0.00062 ,$0.06086 ,$0.00059 ,$0.06856 ,$0.00063 
10:00,AM,$0.06144 ,$0.00056 ,$0.03812 ,$0.00035 ,$0.01627 ,$0.00017 ,$0.00939 ,$0.00012 ,$0.01232 ,$0.00016 ,$0.04135 ,$0.00052 ,$0.05400 ,$0.00063 ,$0.06226 ,$0.00072 ,$0.05959 ,$0.00066 ,$0.05804 ,$0.00064 ,$0.06035 ,$0.00059 ,$0.06798 ,$0.00063 
11:00,AM,$0.06030 ,$0.00054 ,$0.03772 ,$0.00034 ,$0.01895 ,$0.00020 ,$0.01082 ,$0.00013 ,$0.01617 ,$0.00018 ,$0.04034 ,$0.00059 ,$0.05246 ,$0.00067 ,$0.06145 ,$0.00076 ,$0.05887 ,$0.00070 ,$0.05780 ,$0.00071 ,$0.05987 ,$0.00059 ,$0.06282 ,$0.00058 
